result/msr_proj_1.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size  3090400, 23639742 req, miss ratio 0.6758, byte miss ratio 0.6758
result/msr_proj_1.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size  6180800, 23639742 req, miss ratio 0.6639, byte miss ratio 0.6639
result/msr_proj_1.oracleGeneral              S3LRUlru-1-0.1000-2 cache size    15452, 23639742 req, miss ratio 0.9417, byte miss ratio 0.9417
result/msr_proj_1.oracleGeneral              S3LRUlru-1-0.1000-2 cache size    77260, 23639742 req, miss ratio 0.8890, byte miss ratio 0.8890
result/msr_proj_1.oracleGeneral              S3LRUlru-1-0.1000-2 cache size   154520, 23639742 req, miss ratio 0.8643, byte miss ratio 0.8643
result/msr_proj_1.oracleGeneral              S3LRUlru-1-0.1000-2 cache size   309040, 23639742 req, miss ratio 0.8225, byte miss ratio 0.8225
result/msr_proj_1.oracleGeneral              S3LRUlru-1-0.1000-2 cache size   772600, 23639742 req, miss ratio 0.7456, byte miss ratio 0.7456
result/msr_proj_1.oracleGeneral              S3LRUlru-1-0.1000-2 cache size  1545200, 23639742 req, miss ratio 0.6857, byte miss ratio 0.6857
result/msr_proj_1.oracleGeneral              S3LRUlru-1-0.1000-2 cache size  3090400, 23639742 req, miss ratio 0.6815, byte miss ratio 0.6815
result/msr_proj_1.oracleGeneral              S3LRUlru-1-0.1000-2 cache size  6180800, 23639742 req, miss ratio 0.6660, byte miss ratio 0.6660
result/msr_proj_1.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size    15452, 23639742 req, miss ratio 0.9417, byte miss ratio 0.9417
result/msr_proj_1.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size    77260, 23639742 req, miss ratio 0.8910, byte miss ratio 0.8910
result/msr_proj_1.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size   154520, 23639742 req, miss ratio 0.8719, byte miss ratio 0.8719
result/msr_proj_1.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size   309040, 23639742 req, miss ratio 0.8347, byte miss ratio 0.8347
result/msr_proj_1.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size   772600, 23639742 req, miss ratio 0.7353, byte miss ratio 0.7353
result/msr_proj_1.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size  1545200, 23639742 req, miss ratio 0.6789, byte miss ratio 0.6789
result/msr_proj_1.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size  3090400, 23639742 req, miss ratio 0.6758, byte miss ratio 0.6758
result/msr_proj_1.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size  6180800, 23639742 req, miss ratio 0.6639, byte miss ratio 0.6639
